area,date,floor,link,orientation,pos,style,tag,title,total_price,unit_price,zx_type
123㎡,2009年-2015年建,高层(共6层),/sale/500038556?insource=sale_list&top=1,北,三乡-雅居乐-,3室2厅,中山市三乡镇平岚小学/满五年,丰润豪庭 业主急售丰润豪庭 低于市场价,95,7724元/㎡,简装
125㎡,2002年-2010年建,高层(共6层),/sale/502609019?insource=sale_list&top=2,西南,三乡-雅居乐-,4室2厅,中山市三乡镇鸦岗小学/满五年,"雅居乐花园漾逸居 雅居乐高端小区,急售,看房方便",100,8000元/㎡,简装
97.48㎡,2002年-2010年建,中层(共12层),/sale/500054230?insource=sale_list&top=3,东北,三乡-雅居乐-,3室2厅,中山市三乡镇鸦岗小学/满两年,雅居乐花园漾逸居 3室2厅97.48m²普通装修,98,10053元/㎡,简装
108㎡,1996年-2013年建,中层(共6层),/sale/502531230?insource=sale_list&top=4,东北,三乡-文昌路-,3室2厅,中山市三乡镇载德小学/满两年/房本在手,宝之园 3室2厅108m²普通装修,80,7407元/㎡,简装
104.55㎡,2003年建,高层(共7层),/sale/502374713?insource=sale_list&top=5,东,三乡-雅居乐-,3室2厅,中山市三乡镇载德小学/随时看房/满五年,康乐新村 62 万元 康乐新村 普通装修 3室2厅 104.,62,5930元/㎡,简装
93㎡,2005年建,中层(共23层),/sale/500070718?insource=sale_list&top=6,西南,三乡-雅居乐-,3室2厅,中山市三乡镇光后中心小学/满两年/电梯,雅居乐酒店 3室1厅93m²普通装修,85,9140元/㎡,简装
108㎡,1996年-2015年建,中层(共6层),/sale/500740019?insource=sale_list&top=7,南,三乡-文昌路-,4室2厅,中山市三乡镇载德小学/满五年,皇冠花园 3室2厅108m²普通装修,82,7593元/㎡,简装
100.27㎡,2006年建,低层(共12层),/sale/502372403?insource=sale_list&top=8,西南,三乡-雅居乐-,3室2厅,中山市三乡镇光后中心小学/满两年/房本在手/电梯,雅居乐新城都汇城 雅居乐实用少有户型，小区环境优美,95,9474元/㎡,简装
91.85㎡,2007年-2015年建,低层(共15层),/sale/100539858?insource=sale_list&top=9,南,三乡-雅居乐-,3室2厅,中山市三乡镇鸦岗小学/满两年/电梯,巴厘晓筑 必卖！8千多一平方！全新！3室2厅！必卖！,91,9907元/㎡,简装
94㎡,2003年-2010年建,高层(共11层),/sale/501035460?insource=sale_list&top=10,东,三乡-雅居乐-,3室2厅,中山市三乡镇平岚小学/随时看房/满五唯一,宝龙大厦 3室2厅94m²满五年,65,6915元/㎡,简装
