area,date,floor,link,orientation,pos,style,tag,title,total_price,unit_price,zx_type,
109㎡,2005年建,高层(共6层),https://zhongshan.qfang.com/sale/502242012?insource=sale_list&top=602,西,三乡-雅居乐-,3室2厅,中山市三乡镇鸦岗小学/,平东吉雅苑 3室2厅109m2普通装修,30,2752元/㎡,简装,
109㎡,2005年建,高层(共6层),https://zhongshan.qfang.com/sale/502242012?insource=sale_list&top=1096,西,三乡-雅居乐-,3室2厅,中山市三乡镇鸦岗小学/,平东吉雅苑 3室2厅109m2普通装修,30,2752元/㎡,简装,
48㎡,2007年建,高层(共5层),https://zhongshan.qfang.com/sale/502054079?insource=sale_list&top=2417,南,西区-西区-,3室2厅,中山市西区铁城小学/,创兴广场二期 3室2厅48m2普通装修,40,8333元/㎡,简装,
48㎡,2007年建,高层(共5层),https://zhongshan.qfang.com/sale/502054079?insource=sale_list&top=1531,南,西区-西区-,3室2厅,中山市西区铁城小学/,创兴广场二期 3室2厅48m2普通装修,40,8333元/㎡,简装,
92.6㎡,,中层(共6层),https://zhongshan.qfang.com/sale/500068683?insource=sale_list&top=621,东,三乡-三乡-,3室2厅,中山市三乡镇光后中心小学/随时看房/满五年,圩仔正街 3室2厅92.6m2普通装修,43,4644元/㎡,简装,
92.6㎡,,中层(共6层),https://zhongshan.qfang.com/sale/500068683?insource=sale_list&top=898,东,三乡-三乡-,3室2厅,中山市三乡镇光后中心小学/随时看房/满五年,圩仔正街 3室2厅92.6m2普通装修,43,4644元/㎡,简装,
78㎡,1999年-2014年建,高层(共7层),https://zhongshan.qfang.com/sale/502452636?insource=sale_list&top=1876,南,三乡-金涌大道-,3室2厅,满五年/房本在手,吉雅花园 3室2厅78m2普通装修,45,5769元/㎡,简装,
63.27㎡,1992年建,中层(共5层),https://zhongshan.qfang.com/sale/501568856?insource=sale_list&top=2192,西北,坦洲-坦洲-,3室2厅,中山市坦洲中学/随时看房,嘉旭巷 3室2厅63.27m2普通装修,45,7112元/㎡,简装,
63.27㎡,1992年建,中层(共5层),https://zhongshan.qfang.com/sale/501568856?insource=sale_list&top=2145,西北,坦洲-坦洲-,3室2厅,中山市坦洲中学/随时看房,嘉旭巷 3室2厅63.27m2普通装修,45,7112元/㎡,简装,
61.28㎡,1992年-2015年建,高层(共5层),https://zhongshan.qfang.com/sale/502049990?insource=sale_list&top=2939,南,石岐-民权路-,3室1厅,随时看房/房本在手,悦来中路 3室1厅61.28m2精装修,45,7343元/㎡,精装,
61.28㎡,1992年-2015年建,高层(共5层),https://zhongshan.qfang.com/sale/502049990?insource=sale_list&top=2836,南,石岐-民权路-,3室1厅,随时看房/房本在手,悦来中路 3室1厅61.28m2精装修,45,7343元/㎡,精装,
61.28㎡,1992年-2015年建,高层(共5层),https://zhongshan.qfang.com/sale/502049990?insource=sale_list&top=1759,南,石岐-民权路-,3室1厅,随时看房/房本在手,悦来中路 3室1厅61.28m2精装修,45,7343元/㎡,精装,
105㎡,2000年-2016年建,高层(共5层),https://zhongshan.qfang.com/sale/502439153?insource=sale_list&top=1656,南,神湾-神湾-,3室2厅,随时看房/满两年/房本在手/电梯,金港湾花园 3室2厅105m2毛坯,47,4476元/㎡,毛坯,
45㎡,2007年建,高层(共5层),https://zhongshan.qfang.com/sale/500798777?insource=sale_list&top=1652,北,西区-西区-,3室2厅,中山市西区铁城小学/随时看房,创兴广场二期 3室2厅45m2精装修,48,10667元/㎡,精装,
42㎡,2012年-2019年建,中层(共15层),https://zhongshan.qfang.com/sale/501253061?insource=sale_list&top=1160,北,沙溪-溪角中学-,3室2厅,随时看房/满五唯一/电梯,"合家欢城市广场(豪布卡斯) 合家欢城市广场（豪布卡斯）,豪布卡斯国际中心 岀售",48,11429元/㎡,精装,
68.5㎡,2003年建,高层(共6层),https://zhongshan.qfang.com/sale/100569905?insource=sale_list&top=528,西北,板芙-板芙-,3室1厅,中山市板芙镇深湾小学/随时看房/满两年,金澳华庭一期 拎包入住！3室1厅1厨1卫 68m2 普通装修,48,7007元/㎡,简装,
63.63㎡,1994年建,中层(共6层),https://zhongshan.qfang.com/sale/502472715?insource=sale_list&top=1805,南,石岐-民权路-,3室2厅,中山市石岐西厂小学/满五年/房本在手,新畲堂 3室2厅63.63m2满五年,48,7544元/㎡,简装,
37㎡,2003年建,中层(共26层),https://zhongshan.qfang.com/sale/500079826?insource=sale_list&top=508,南,坦洲-坦洲-,3室2厅,中山市坦洲镇七村小学/满五年/房本在手/电梯,海伦堡四期 精装舒适高层大3房保养好通风通透,49,13243元/㎡,精装,
37㎡,2003年建,中层(共26层),https://zhongshan.qfang.com/sale/500187794?insource=sale_list&top=224,东南,坦洲-坦洲-,3室2厅,中山市坦洲镇七村小学/满五年/电梯,海伦堡四期 精装大3房高层舒适温馨大气品质生活,50,13514元/㎡,精装,
127㎡,1998年-2007年建,高层(共7层),https://zhongshan.qfang.com/sale/502236004?insource=sale_list&top=2223,南,大涌-大涌-,3室2厅,满两年,胜景花园 3室2厅127m2精装修,50,3937元/㎡,精装,
103㎡,1992年-2008年建,高层(共7层),https://zhongshan.qfang.com/sale/500343437?insource=sale_list&top=428,南,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/随时看房/满两年,华丰花园9区 地中海风情建筑，小区环境好，入住率高,50,4854元/㎡,精装,
101.5㎡,2002年建,中层(共6层),https://zhongshan.qfang.com/sale/502385500?insource=sale_list&top=1701,东北,沙溪-厚山广场-,4室2厅,随时看房/满两年,乐怡居 4室2厅101.5m2普通装修,50,4926元/㎡,简装,
92.31㎡,2000年-2016年建,高层(共10层),https://zhongshan.qfang.com/sale/100546120?insource=sale_list&top=1228,南,神湾-神湾-,3室2厅,随时看房/满五唯一/房本在手/电梯,金港湾花园 首付9万，看房随时方便，小区配套齐全,50,5417元/㎡,毛坯,
85㎡,1996年-1997年建,高层(共7层),https://zhongshan.qfang.com/sale/500058736?insource=sale_list&top=1219,南,西区-天悦城-,3室2厅,中山市西区烟洲小学/满两年/房本在手,翠景花园一期 3室2厅85m2普通装修,50,5882元/㎡,简装,
76㎡,2000年-2013年建,高层(共6层),https://zhongshan.qfang.com/sale/100528606?insource=sale_list&top=476,南,三乡-金涌大道-,3室2厅,随时看房/满两年/房本在手,君怡花园 精致装修?格局方正?采光足?家电家私齐全?拎包入住,50,6579元/㎡,精装,
76㎡,2000年-2013年建,高层(共6层),https://zhongshan.qfang.com/sale/100528606?insource=sale_list&top=1025,南,三乡-金涌大道-,3室2厅,随时看房/满两年/房本在手,君怡花园 精致装修?格局方正?采光足?家电家私齐全?拎包入住,50,6579元/㎡,精装,
65㎡,1993年建,高层(共6层),https://zhongshan.qfang.com/sale/501512716?insource=sale_list&top=136,南,东区-东区-,3室0厅,中山市东区竹苑小学/随时看房/满五年/房本在手,松苑路 松苑路 2室2厅65m2普通装修,50,7692元/㎡,简装,
65㎡,1993年建,高层(共6层),https://zhongshan.qfang.com/sale/501512716?insource=sale_list&top=1316,南,东区-东区-,3室0厅,中山市东区竹苑小学/随时看房/满五年/房本在手,松苑路 松苑路 2室2厅65m2普通装修,50,7692元/㎡,简装,
101.41㎡,2000年-2016年建,高层(共11层),https://zhongshan.qfang.com/sale/501385496?insource=sale_list&top=1469,东南,神湾-神湾-,3室2厅,随时看房/满两年/电梯,金港湾花园 3室2厅101.41m2毛坯,52,5128元/㎡,毛坯,
97㎡,2003年-2005年建,高层(共7层),https://zhongshan.qfang.com/sale/502150213?insource=sale_list&top=2362,南,大涌-大涌-,3室2厅,随时看房/满五年,顺景苑 3室2厅97m2普通装修,52,5361元/㎡,简装,
97㎡,2003年-2005年建,高层(共7层),https://zhongshan.qfang.com/sale/502150213?insource=sale_list&top=1972,南,大涌-大涌-,3室2厅,随时看房/满五年,顺景苑 3室2厅97m2普通装修,52,5361元/㎡,简装,
75.25㎡,2000年-2013年建,中层(共11层),https://zhongshan.qfang.com/sale/502449881?insource=sale_list&top=2922,南,三乡-金涌大道-,3室2厅,满两年,君怡花园 3室2厅75.25m2普通装修,52,6910元/㎡,简装,
75.25㎡,2000年-2013年建,中层(共11层),https://zhongshan.qfang.com/sale/502449881?insource=sale_list&top=1956,南,三乡-金涌大道-,3室2厅,满两年,君怡花园 3室2厅75.25m2普通装修,52,6910元/㎡,简装,
58.03㎡,,高层(共1层),https://zhongshan.qfang.com/sale/500176467?insource=sale_list&top=2587,南,石岐-纪念堂-,3室2厅,中山市石岐中学/,石岐深巷 3室2厅58.03m2精装修,52,8961元/㎡,精装,
78.24㎡,,中层(共4层),https://zhongshan.qfang.com/sale/502305602?insource=sale_list&top=2831,东北,神湾-神湾-,3室2厅,随时看房,宥贤街 3室2厅78.24m2精装修,53,6774元/㎡,精装,
